iter	Passed	Remaining
0	1	135
1	2	127
2	3	121
3	4	113
4	6	114
5	7	112
6	8	111
7	9	110
8	10	109
9	11	107
10	13	105
11	14	105
12	15	103
13	16	102
14	17	101
15	19	100
16	20	99
17	21	98
18	22	96
19	24	96
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	71
41	49	69
42	51	67
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	79	38
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	105	14
88	106	13
89	107	11
90	108	10
91	110	9
92	111	8
93	112	7
94	113	5
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
